"MyNumber","Collections","ID","sciname","Label","Station","Notes","Muscle","Otolith","Lat_dec","Long_dec","Year","Min Depth","Max Depth","Salinity","SST","Weight","Weight_SD","Sex"
"BAS_102","BAS","20","Gymnoscopelus braueri","GYR","JR177/305/2",NA,1,"Y",-52.86,-40.1,2008,NA,NA,NA,NA,20.7,0,"M"
"BAS_103","BAS","#109","Gymnoscopelus braueri","GYR","JR15004/96/1",NA,1,"Y",-60.3073,-46.7017,2016,NA,NA,NA,NA,6.2,0,"J"
"BAS_104","BAS","#110","Gymnoscopelus braueri","GYR","JR15004/96/1",NA,1,"Y",-60.3073,-46.7017,2016,NA,NA,NA,NA,14.1,0,"F"
"BAS_105","BAS","116","Gymnoscopelus braueri","GYR","JR15004/60/1",NA,1,"Y",-59.9641,-47.1774,2016,NA,NA,NA,NA,11.3,0,"M"
"BAS_106","BAS","107","Gymnoscopelus braueri","GYR","JR15004/66/1",NA,1,"Y",-60.0328,-46.6157,2016,NA,NA,NA,NA,13.9,0,"F"
"BAS_107","BAS","21","Gymnoscopelus braueri","GYR","JR177/305/2",NA,1,"Y",-52.86,-40.1,2008,NA,NA,NA,NA,6.4,0,"F"
"BAS_110","BAS","102","Gymnoscopelus braueri","GYR","JR15004/73/1",NA,1,"Y",-60.1027,-46.0406,2016,NA,NA,NA,NA,13.9,0,"M"
"BAS_111","BAS","101","Gymnoscopelus braueri","GYR","JR15004/73/1",NA,1,"Y",-60.1027,-46.0406,2016,NA,NA,NA,NA,16.1,0,"F"
"BAS_112","BAS","#112","Gymnoscopelus braueri","GYR","JR15004/96/1",NA,1,"Y",-60.3073,-46.7017,2016,NA,NA,NA,NA,10.4,0,"J"
"BAS_92","BAS","118","Gymnoscopelus nicholsi","GYN","JR15004/96/2",NA,NA,"Y",-60.3073,-46.7017,2016,NA,NA,NA,NA,29.5,0,"M"
"BAS_120","BAS","119","Gymnoscopelus nicholsi","GYN","JR15004/96/2",NA,1,"Y",-60.3073,-46.7017,2016,NA,NA,NA,NA,30.1,0,"M"
"BAS_121","BAS","123","Gymnoscopelus nicholsi","GYN","JR15004/96/2",NA,1,"Y",-60.3073,-46.7017,2016,NA,NA,NA,NA,25.1,0,"M"
"BAS_122","BAS","126","Gymnoscopelus nicholsi","GYN","JR15004/96/2",NA,1,"Y",-60.3073,-46.7017,2016,NA,NA,NA,NA,38.7,0,"M"
"BAS_123","BAS","124","Gymnoscopelus nicholsi","GYN","JR15004/96/2",NA,1,"Y",-60.3073,-46.7017,2016,NA,NA,NA,NA,25.3,0,"M"
"BAS_124","BAS","122","Gymnoscopelus nicholsi","GYN","JR15004/96/2",NA,1,"Y",-60.3073,-46.7017,2016,NA,NA,NA,NA,21,0,"M"
"BAS_125","BAS","125","Gymnoscopelus nicholsi","GYN","JR15004/96/2",NA,1,"Y",-60.3073,-46.7017,2016,NA,NA,NA,NA,32.2,0,"M"
"BAS_126","BAS","120","Gymnoscopelus nicholsi","GYN","JR15004/96/2",NA,1,"Y",-60.3073,-46.7017,2016,NA,NA,NA,NA,32.2,0,"M"
"BAS_127","BAS","121","Gymnoscopelus nicholsi","GYN","JR15004/96/2",NA,1,"Y",-60.3073,-46.7017,2016,NA,NA,NA,NA,37.7,0,"M"
"BAS_128","BAS","#3","Gymnoscopelus nicholsi","GYN","JR177/161/2",NA,1,"Y",-59.69,-44.09,2008,NA,NA,NA,NA,35.5,0,"F"
"BAS_220","BAS","#3","Gymnoscopelus nicholsi","GYN","JR177/161/2",NA,1,"Y",-59.69,-44.09,2008,NA,NA,NA,NA,35.5,0,"F"
"BAS_129","BAS","#75","Gymnoscopelus nicholsi","GYN","JR177/165/2",NA,1,"Y",-59.68,-44.14,2008,NA,NA,NA,NA,28.4,0,"F"
"BAS_130","BAS","#66","Gymnoscopelus nicholsi","GYN","JR177/334/2",NA,1,"Y",-52.64,-39.09,2008,NA,NA,NA,NA,23.2,0,"F"
"BAS_145","BAS","#15","Krefftichthys anderssoni","KRA","JR177/328/1",NA,1,"C",-52.72,-39.08,2008,NA,NA,NA,NA,0.7,0,"F"
"BAS_146","BAS","25","Krefftichthys anderssoni","KRA","JR16003/129/1","RAS",1,"C",-54.99,-49.105,2016,NA,NA,NA,NA,0.7,0,"F"
"BAS_151","BAS","48","Krefftichthys anderssoni","KRA","JR16003/146/2","RAS",1,"C",-54.99,-49.105,2016,NA,NA,NA,NA,1,0,"F"
"BAS_152","BAS","43","Krefftichthys anderssoni","KRA","JR16003/113/1","RAS",1,"C",-54.99,-49.105,2016,NA,NA,NA,NA,3.7,0,NA
"BAS_153","BAS","47","Krefftichthys anderssoni","KRA","JR16003/146/1","RAS",1,"C",-54.99,-49.105,2016,NA,NA,NA,NA,1,0,"M"
"BAS_155","BAS","33","Krefftichthys anderssoni","KRA","JR16003/147/1","RAS",1,"C",-54.99,-49.105,2016,NA,NA,NA,NA,1.3,0,"M"
"BAS_156","BAS","40","Krefftichthys anderssoni","KRA","JR16003/129/2","RAS",1,"C",-54.99,-49.105,2016,NA,NA,NA,NA,0.5,0,"M"
"BAS_165","BAS","54","Krefftichthys anderssoni","KRA","JR16003/129/2","RAS",1,"C",-54.99,-49.105,2016,NA,NA,NA,NA,0.9,0,"M"
"BAS_166","BAS","45","Krefftichthys anderssoni","KRA","JR16003/147/1","RAS",1,"C",-54.99,-49.105,2016,NA,NA,NA,NA,0.7,0,"M"
"BAS_167","BAS","44","Krefftichthys anderssoni","KRA","JR16003/129/2","RAS",1,"C",-54.99,-49.105,2016,NA,NA,NA,NA,3.1,0,"F"
"BAS_168","BAS","32","Krefftichthys anderssoni","KRA","JR16003/147/1","RAS",1,"C",-54.99,-49.105,2016,NA,NA,NA,NA,1.6,0,"M"
"BAS_169","BAS","24","Krefftichthys anderssoni","KRA","JR16003/146/1","RAS",1,"C",-54.99,-49.105,2016,NA,NA,NA,NA,1.4,0,"F"
"BAS_170","BAS","46","Krefftichthys anderssoni","KRA","JR16003/129/1","RAS",1,"C",-54.99,-49.105,2016,NA,NA,NA,NA,1.7,0,"F"
"BAS_172","BAS","31","Krefftichthys anderssoni","KRA","JR16003/147/1","RAS",1,"C",-54.99,-49.105,2016,NA,NA,NA,NA,1,0,"M"
"BAS_174","BAS","21","Krefftichthys anderssoni","KRA","JR16003/129/2","RAS",1,"C",-54.99,-49.105,2016,NA,NA,NA,NA,1.8,0,"M"
"BAS_175","BAS","22","Krefftichthys anderssoni","KRA","JR16003/146/1","RAS",1,"C",-54.99,-49.105,2016,NA,NA,NA,NA,1,0,"F"
"BAS_176","BAS","23","Krefftichthys anderssoni","KRA","JR16003/146/1","RAS",1,"C",-54.99,-49.105,2016,NA,NA,NA,NA,0.8,0,"F"
"BAS_177","BAS","28","Krefftichthys anderssoni","KRA","JR16003/129/2","RAS",1,"C",-54.99,-49.105,2016,NA,NA,NA,NA,1.1,0,"M"
"BAS_178","BAS","26","Krefftichthys anderssoni","KRA","JR16003/129/2","RAS",1,"C",-54.99,-49.105,2016,NA,NA,NA,NA,1.5,0,"F"
"BAS_221","BAS","27","Krefftichthys anderssoni","KRA","JR16003/129/2","RAS",NA,"C",-54.99,-49.105,2016,NA,NA,NA,NA,0.9,0,"M"
"BAS_188","BAS","#26","Protomyctophum bolini","PRM","JR177/305/1","RAS",1,"Y",-52.83,-40.12,2008,NA,NA,NA,NA,1.8,0,"F"
"BAS_189","BAS","#126","Protomyctophum bolini","PRM","JR177/301/1","RAS",1,"Y",-52.9,-40.21,2008,NA,NA,NA,NA,0.8,0,"M"
"BAS_191","BAS","#30","Protomyctophum bolini","PRM","JR177/301/1","RAS",NA,"Y",-52.9,-40.21,2008,NA,NA,NA,NA,0.6,0,"J"
"BAS_192","BAS","#25","Protomyctophum bolini","PRM","JR177/328/1","RAS",1,"Y",-52.72,-39.08,2008,NA,NA,NA,NA,1.6,0,"M"
"BAS_193","BAS","#26","Protomyctophum bolini","PRM","JR177/328/1","RAS",1,"Y",-52.72,-39.08,2008,NA,NA,NA,NA,2.2,0,"F"
"BAS_194","BAS","#34","Protomyctophum bolini","PRM","JR177/301/1","RAS",1,"Y",-52.9,-40.21,2008,NA,NA,NA,NA,0.7,0,"J"
"BAS_195","BAS","#33","Protomyctophum bolini","PRM","JR177/301/1","RAS",1,"Y",-52.9,-40.21,2008,NA,NA,NA,NA,0.8,0,"M"
"BAS_196","BAS","#27","Protomyctophum bolini","PRM","JR177/328/1","RAS",1,"Y",-52.72,-39.08,2008,NA,NA,NA,NA,1.6,0,"F"
"BAS_200","BAS","64","Protomyctophum bolini","PRM","JR16003/112/2","RAS",1,"Y",-54.99,-49.105,2016,NA,NA,NA,NA,0.6,0,"M"
"BAS_201","BAS","59","Protomyctophum bolini","PRM","JR16003/112/2","RAS",NA,"Y",-54.99,-49.105,2016,NA,NA,NA,NA,2.3,0,"M"
"BAS_203","BAS","61","Protomyctophum bolini","PRM","JR16003/112/2","RAS",1,"Y",-54.99,-49.105,2016,NA,NA,NA,NA,1.7,0,"M"
"BAS_204","BAS","62","Protomyctophum bolini","PRM","JR16003/112/2","RAS",1,"Y",-54.99,-49.105,2016,NA,NA,NA,NA,0.8,0,"M"
"BAS_205","BAS","63","Protomyctophum bolini","PRM","JR16003/112/2","RAS",1,"Y",-54.99,-49.105,2016,NA,NA,NA,NA,1,0,"M"
"BAS_212","BAS","70","Protomyctophum bolini","PRM","JR16003/113/1","RAS",1,"Y",-54.99,-49.105,2016,NA,NA,NA,NA,1.1,0,"M"
"BAS_213","BAS","74","Protomyctophum bolini","PRM","JR16003/129/1","RAS",1,"C",-54.99,-49.105,2016,NA,NA,NA,NA,1.7,0,"F"
"BAS_214","BAS","77","Protomyctophum bolini","PRM","JR16003/129/1","RAS",1,"Y",-54.99,-49.105,2016,NA,NA,NA,NA,0.5,0,"M"
"BAS_215","BAS","78","Protomyctophum bolini","PRM","JR16003/129/1","RAS",1,"Y",-54.99,-49.105,2016,NA,NA,NA,NA,1.9,0,"F"
"BAS_217","BAS","76","Protomyctophum bolini","PRM","JR16003/129/1","RAS",1,"Y",-54.99,-49.105,2016,NA,NA,NA,NA,1.5,0,"M"
"BAS_218","BAS","75","Protomyctophum bolini","PRM","JR16003/129/1","RAS",1,"Y",-54.99,-49.105,2016,NA,NA,NA,NA,1.2,0,"M"
"BAS_219","BAS","66","Protomyctophum bolini","PRM","JR16003/113/1","RAS",1,"C",-54.99,-49.105,2016,NA,NA,NA,NA,2.1,0,"F"
