"","MyNumber","ID","sciname","Label","Station","Notes","Muscle","Otolith","Weight","Weight_SD","Sex","Year","Lat_dec","Long_dec","Min_Depth","Max_Depth","Temp","Sal","DIC","Suess"
"69","BAS_129","#75","Gymnoscopelus nicholsi","GYN","JR177/165/2",NA,1,"Y",28.4,0,"F",2008,-59.69,-44.09,11.4,209,NA,NA,1.8,-0.08
"70","BAS_130","#66","Gymnoscopelus nicholsi","GYN","JR177/334/2",NA,1,"Y",23.2,0,"F",2008,-52.64,-39.09,406.9,719.6,NA,NA,1.9,-0.11
"71","BAS_145","#15","Krefftichthys anderssoni","KRA","JR177/328/1",NA,1,"C",0.7,0,"F",2008,-52.72,-39.08,204.1,405,NA,NA,1.9,-0.11
"72","BAS_146","25","Krefftichthys anderssoni","KRA","JR16003/129/1","RAS",1,"C",0.7,0,"F",2017,-54.68,-45.22,195.6,406.8,1.65,33.65,1.85,-0.1
"73","BAS_151","48","Krefftichthys anderssoni","KRA","JR16003/146/2","RAS",1,"C",1,0,"F",2017,-53.95,-49.19,398.3,707.9,2.74,33.72,1.9,-0.1
"74","BAS_152","43","Krefftichthys anderssoni","KRA","JR16003/113/1","RAS",1,"C",3.7,0,NA,2017,-55.29,-41.35,196.7,398,2.06,33.69,1.85,-0.09
"75","BAS_153","47","Krefftichthys anderssoni","KRA","JR16003/146/1","RAS",1,"C",1,0,"M",2017,-53.94,-49.17,699.1,991.1,2.46,33.72,1.9,-0.1
"76","BAS_155","33","Krefftichthys anderssoni","KRA","JR16003/147/1","RAS",1,"C",1.3,0,"M",2017,-53.96,-49.24,198.3,398.5,2.71,33.72,1.9,-0.1
"77","BAS_156","40","Krefftichthys anderssoni","KRA","JR16003/129/2","RAS",1,"C",0.5,0,"M",2017,-54.66,-45.2,82,208,0,33.64,1.85,-0.1
"78","BAS_165","54","Krefftichthys anderssoni","KRA","JR16003/129/2","RAS",1,"C",0.9,0,"M",2017,-54.66,-45.2,82,208,0,33.64,1.85,-0.1
"79","BAS_166","45","Krefftichthys anderssoni","KRA","JR16003/147/1","RAS",1,"C",0.7,0,"M",2017,-53.96,-49.24,198.3,398.5,2.71,33.72,1.9,-0.1
"80","BAS_167","44","Krefftichthys anderssoni","KRA","JR16003/129/2","RAS",1,"C",3.1,0,"F",2017,-54.66,-45.2,82,208,0,33.64,1.85,-0.1
"81","BAS_168","32","Krefftichthys anderssoni","KRA","JR16003/147/1","RAS",1,"C",1.6,0,"M",2017,-53.96,-49.24,198.3,398.5,2.71,33.72,1.9,-0.1
"82","BAS_169","24","Krefftichthys anderssoni","KRA","JR16003/146/1","RAS",1,"C",1.4,0,"F",2017,-53.94,-49.17,699.1,991.1,2.46,33.72,1.9,-0.1
"83","BAS_170","46","Krefftichthys anderssoni","KRA","JR16003/129/1","RAS",1,"C",1.7,0,"F",2017,-54.68,-45.22,195.6,406.8,1.65,33.65,1.85,-0.1
"84","BAS_172","31","Krefftichthys anderssoni","KRA","JR16003/147/1","RAS",1,"C",1,0,"M",2017,-53.96,-49.24,198.3,398.5,2.71,33.72,1.9,-0.1
"85","BAS_174","21","Krefftichthys anderssoni","KRA","JR16003/129/2","RAS",1,"C",1.8,0,"M",2017,-54.66,-45.2,82,208,0,33.64,1.85,-0.1
"86","BAS_175","22","Krefftichthys anderssoni","KRA","JR16003/146/1","RAS",1,"C",1,0,"F",2017,-53.94,-49.17,699.1,991.1,2.46,33.72,1.9,-0.1
"87","BAS_176","23","Krefftichthys anderssoni","KRA","JR16003/146/1","RAS",1,"C",0.8,0,"F",2017,-53.94,-49.17,699.1,991.1,2.46,33.72,1.9,-0.1
"88","BAS_177","28","Krefftichthys anderssoni","KRA","JR16003/129/2","RAS",1,"C",1.1,0,"M",2017,-54.66,-45.2,82,208,0,33.64,1.85,-0.1
"89","BAS_178","26","Krefftichthys anderssoni","KRA","JR16003/129/2","RAS",1,"C",1.5,0,"F",2017,-54.66,-45.2,82,208,0,33.64,1.85,-0.1
"90","BAS_221","27","Krefftichthys anderssoni","KRA","JR16003/129/2","RAS",NA,"C",0.9,0,"M",2017,-54.66,-45.2,82,208,0,33.64,1.85,-0.1
"91","BAS_188","#26","Protomyctophum bolini","PRM","JR177/305/1","RAS",1,"Y",1.8,0,"F",2008,-52.83,-40.12,200,401.2,NA,NA,1.9,-0.1
"92","BAS_189","#126","Protomyctophum bolini","PRM","JR177/301/1","RAS",1,"Y",0.8,0,"M",2008,-52.9,-40.21,203,402,NA,NA,1.9,-0.1
"93","BAS_191","#30","Protomyctophum bolini","PRM","JR177/301/1","RAS",NA,"Y",0.6,0,"J",2008,-52.9,-40.21,203,402,NA,NA,1.9,-0.1
"94","BAS_192","#25","Protomyctophum bolini","PRM","JR177/328/1","RAS",1,"Y",1.6,0,"M",2008,-52.72,-39.08,204.1,405,NA,NA,1.9,-0.11
"95","BAS_193","#26","Protomyctophum bolini","PRM","JR177/328/1","RAS",1,"Y",2.2,0,"F",2008,-52.72,-39.08,204.1,405,NA,NA,1.9,-0.11
"96","BAS_194","#34","Protomyctophum bolini","PRM","JR177/301/1","RAS",1,"Y",0.7,0,"J",2008,-52.9,-40.21,203,402,NA,NA,1.9,-0.1
"97","BAS_195","#33","Protomyctophum bolini","PRM","JR177/301/1","RAS",1,"Y",0.8,0,"M",2008,-52.9,-40.21,203,402,NA,NA,1.9,-0.1
"98","BAS_196","#27","Protomyctophum bolini","PRM","JR177/328/1","RAS",1,"Y",1.6,0,"F",2008,-52.72,-39.08,204.1,405,NA,NA,1.9,-0.11
"99","BAS_200","64","Protomyctophum bolini","PRM","JR16003/112/2","RAS",1,"Y",0.6,0,"M",2016,-55.26,-41.2,NA,NA,NA,NA,1.85,-0.09
"100","BAS_201","59","Protomyctophum bolini","PRM","JR16003/112/2","RAS",NA,"Y",2.3,0,"M",2016,-55.26,-41.2,NA,NA,NA,NA,1.85,-0.09
"101","BAS_203","61","Protomyctophum bolini","PRM","JR16003/112/2","RAS",1,"Y",1.7,0,"M",2016,-55.26,-41.2,NA,NA,NA,NA,1.85,-0.09
"102","BAS_204","62","Protomyctophum bolini","PRM","JR16003/112/2","RAS",1,"Y",0.8,0,"M",2016,-55.26,-41.2,NA,NA,NA,NA,1.85,-0.09
"103","BAS_205","63","Protomyctophum bolini","PRM","JR16003/112/2","RAS",1,"Y",1,0,"M",2016,-55.26,-41.2,NA,NA,NA,NA,1.85,-0.09
"104","BAS_212","70","Protomyctophum bolini","PRM","JR16003/113/1","RAS",1,"Y",1.1,0,"M",2017,-55.29,-41.35,196.7,398,2.06,33.69,1.85,-0.09
"105","BAS_213","74","Protomyctophum bolini","PRM","JR16003/129/1","RAS",1,"C",1.7,0,"F",2017,-54.68,-45.22,195.6,406.8,1.65,33.65,1.85,-0.1
"106","BAS_214","77","Protomyctophum bolini","PRM","JR16003/129/1","RAS",1,"Y",0.5,0,"M",2017,-54.68,-45.22,195.6,406.8,1.65,33.65,1.85,-0.1
"107","BAS_215","78","Protomyctophum bolini","PRM","JR16003/129/1","RAS",1,"Y",1.9,0,"F",2017,-54.68,-45.22,195.6,406.8,1.65,33.65,1.85,-0.1
"108","BAS_217","76","Protomyctophum bolini","PRM","JR16003/129/1","RAS",1,"Y",1.5,0,"M",2017,-54.68,-45.22,195.6,406.8,1.65,33.65,1.85,-0.1
"109","BAS_218","75","Protomyctophum bolini","PRM","JR16003/129/1","RAS",1,"Y",1.2,0,"M",2017,-54.68,-45.22,195.6,406.8,1.65,33.65,1.85,-0.1
"110","BAS_219","66","Protomyctophum bolini","PRM","JR16003/113/1","RAS",1,"C",2.1,0,"F",2017,-55.29,-41.35,196.7,398,2.06,33.69,1.85,-0.09
